race100m,longjump,shotput,highjump,race400m,race110mhurdles,discus,polevault,javelinthrow,race1500m
10.66,8,14.73,2.06,48.28,14.5,43.28,4.9,61.28,268.8
11.1,7.66,16.3,1.94,48.46,14.77,47.72,4.9,68.26,270.56
11.21,7.22,15.84,2.09,47.75,14.28,45.52,4.7,69.66,278.38
10.95,7.35,14.99,2.08,49.29,14.76,46.12,4.6,68.16,261.09
10.86,7.41,14.22,2,49.98,14.84,46.08,5.3,67.68,277.07
11.09,7.56,15.28,2.08,50,14.89,48.58,4.6,67.46,272.31
11.22,7.25,14.74,2.1,49.6,15.38,50.86,4.7,65.62,258.45
11.03,7.63,15.11,2.16,48.43,14.75,45.98,4.4,63.38,283.06
10.86,7.25,15.33,2.1,50.09,15.18,46.58,5,66.1,285.66
11.01,7.27,16.27,1.88,49.13,14.37,47.62,4.9,63.72,285.53
10.78,7.17,15.02,2.16,50.95,15.03,46.88,4.8,59.9,277.71
11.47,7.42,14.65,1.99,50.28,15.38,48.06,5.1,64.94,264.51
11.01,7.38,14.98,2.01,51.02,14.74,50.66,4.7,59.54,267.88
11.21,7.61,15.2,2.2,49.09,15.02,40.2,4,66.48,266.57
11.03,7.5,14.62,2.05,49.4,14.84,41.9,4.7,59,263.83
10.84,7.3,14.99,2.03,47.05,15.62,46.94,4.4,55.6,261.96
11.21,6.9,15.25,1.93,48.46,14.88,48.9,4.7,61.44,260.9
11.08,7.24,15.75,1.92,49.14,14.16,42.1,4.4,64.1,264.13
10.62,7.55,14.16,1.99,48.04,14.65,42.38,4.2,58.74,264.77
11.55,7.44,14.93,1.99,50.77,15.23,44.8,5,72.6,282.68
10.87,7.2,15.2,2.04,49.29,14.48,44.56,4.4,62.4,278.92
10.94,6.9,14.2,2,49.16,14.96,45.16,4.8,66.06,277.05
11.15,7.37,13.55,2.12,48.15,14.21,42.3,4.2,57.18,263.7
11.43,7.32,15.34,2,49.69,14.91,45.6,4.9,55.84,268.12
11.01,6.8,14.52,2,49.92,14.81,43.52,4.7,60.6,263.64
11.22,6.78,15.2,2,51.04,15.29,49.54,4.8,69.86,292.01
10.99,7.15,15.9,1.96,48.2,15.81,47.38,4.2,57.94,263.13
11.09,6.85,13.32,2.04,48.74,14.97,41.88,4.4,73.78,277.83
10.94,7.1,13.39,2.08,49.28,14.12,39.26,4.8,49.8,266.03
10.92,7.21,13.52,2.04,49.6,15.95,43.9,5.1,56.32,273.44
10.99,7.44,15.87,1.94,50.55,14.75,43.66,4.4,59.08,277.42
11.14,7.25,13.08,2.1,50.79,14.81,39.8,4.8,62.08,274.52
10.43,7.4,14.88,1.91,50.17,15.02,42.8,4.4,54.46,270.51
10.77,7.21,13.66,1.98,49.68,14.56,41.2,4.2,65.12,272.15
10.82,7.35,14.07,1.95,49.61,14.63,45.48,4.3,61.1,283.68
11.21,7.27,13.96,1.94,48.83,15.53,43.62,4.3,65.84,260.76
11.53,7.16,13.79,2.01,51.29,15.07,44.24,4.9,62.44,266.87
11.24,7.11,14.5,2.01,50.03,14.34,43.04,4.5,57.72,271.89
10.85,6.91,12.93,1.92,47.24,14.84,41.12,4.4,62.32,261.63
10.95,6.99,14.99,1.94,49.47,14.71,45.26,4.6,53.6,272.08
